"id";"N";"M";"G0_GRT";"Gf_GRT";"G0_Gf_GRT";"Gf_GRT_ssG0";"Domaine";"Sujet";"URL";"rt0";"s0";"rtF";"sF"
30;106;157;74,44;71,11;58,89;12,22;"Lequipe.fr";"Sport";"http://www.lequipe.fr/Football/Actualites/Giggs-titulaire-pour-sa-900e/266337";60,71;17,86;14,29;0
31;60;82;84,44;84,44;75,56;8,88;"Lequipe.fr";"Sport";"http://www.lequipe.fr/Basket/Actualites/Parker-roi-des-meneurs/266296";75;0;75;0
32;49;123;73,91;13,04;13,04;0;"Slate.fr";"Cinema";"http://www.slate.fr/story/50615/oscars-enveloppes-palmares-vote";80;10;40;0
33;34;56;80;0;0;0;"Slate.fr";"Web/it";"http://www.slate.fr/story/50285/rendez-nous-le-stylet";74,44;13,33;71,11;0
34;50;82;65,22;17,39;17,39;0;"Slate.fr";"Misc";"http://www.slate.fr/story/50517/animaux-hibernent-toilettes";86,67;46,67;33,33;26,67
35;60;110;66,67;10;6,67;3,33;"Slate.fr";"Politic";"http://www.slate.fr/france/50631/sarkozy-mort-hoax";17,54;56,14;0;1,75
36;213;263;54,95;4,5;2,7;1,8;"Journaldugeek.com";"Web/it";"http://www.journaldugeek.com/2012/02/27/burger-king-le-retour-du-roi-en-france-prevu-pour-le-21-mars/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+LeJournalDuGeek+%28le+Journal+du+Geek%29";68,75;25;18,75;12,5
37;32;25;63,64;0;0;0;"France24.com";"Cinema";"http://www.france24.com/fr/20120227-the-artist-jean-dujardin-triomphe-oscars-statuette-meilleur-film-acteur-hollywood-prix";76,92;34,62;69,23;15,38
38;96;674;66,67;57,89;45,61;12,28;"Blogpersonalbranding.com";"Web/it";"http://www.blogpersonalbranding.com/2012/02/comment-faire-un-live-tweet-le-guide-des-astuces-pour-commenter-en-direct-live/";82,61;17,39;4,35;47,83
39;57;109;88;0;0;0;"<unknow>";"Politic";"/election-presidentielle-2012/20120226.OBS2298/video-c-est-insupportable-a-la-fin-quand-guaino-s-emporte.html";90;0;77,5;0
40;56;234;69,23;7,69;7,69;0;"Nouvelobs.com";"Politic";"http://tempsreel.nouvelobs.com/le-reveil-politique/20120227.OBS2344/le-reveil-politique-la-vraie-vie-de-nicolas-sarkozy.html";53,85;0;23,08;7,69
41;102;335;82,69;9,62;9,62;0;"Nouvelobs.com";"Web/it";"http://rss.nouvelobs.com/c/32262/f/493634/s/1ceed22d/l/0Ltempsreel0Bnouvelobs0N0Cles0Eoff0Epolitiques0C20A120A2250BOBS22770Cinfo0Eobs0Efn0Eles0Evrais0Echiffres0Edes0Eparrainages0Bhtml/story01.htm?utm_source=twitterfeed&utm_medium=twitter";65;0;77,5;0
42;23;19;100;100;100;0;"Nouvelobs.com";"Cinema";"http://obsession.nouvelobs.com/le-phenomene-jean-dujardin/20120227.OBS2328/oscars-la-classe-americaine-pour-jean-dujardin-et-the-artist.html";78,13;0;6,25;6,25
